ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-10-23,1496.139274370707,1398.7477453638842,1707.4496545869715,1496.139016902651,1496.1395388854673,54.2241508866846,54.2241508866846,54.2241508866846,54.2241508866846,54.2241508866846,54.2241508866846,0.0,0.0,0.0,1550.3634252573916
2022-10-30,1498.7689634855979,1402.8816050417029,1693.6485229598409,1498.7687009398007,1498.7692401586862,54.22415088573032,54.22415088573032,54.22415088573032,54.22415088573032,54.22415088573032,54.22415088573032,0.0,0.0,0.0,1552.9931143713281
2022-11-06,1501.3986526004887,1409.3076345058178,1696.0504394408335,1501.3983854397209,1501.3989384542963,54.22415088615307,54.22415088615307,54.22415088615307,54.22415088615307,54.22415088615307,54.22415088615307,0.0,0.0,0.0,1555.6228034866417
2022-11-13,1504.0283417153796,1419.8967685170173,1695.491364449759,1504.0280667925688,1504.0286332961352,54.22415088657581,54.22415088657581,54.22415088657581,54.22415088657581,54.22415088657581,54.22415088657581,0.0,0.0,0.0,1558.2524926019555
2022-11-20,1506.6580308302705,1409.3329517516597,1711.0727961916748,1506.6577478247573,1506.658329924117,54.224150885621555,54.224150885621555,54.224150885621555,54.224150885621555,54.224150885621555,54.224150885621555,0.0,0.0,0.0,1560.882181715892
2022-11-27,1509.2877199451614,1420.120171356549,1711.802021154359,1509.2874262552584,1509.2880304175783,54.2241508860443,54.2241508860443,54.2241508860443,54.2241508860443,54.2241508860443,54.2241508860443,0.0,0.0,0.0,1563.5118708312057
2022-12-04,1511.9174090600525,1422.1515923077204,1725.5402327577372,1511.9171056258876,1511.9177315078666,54.224150886379014,54.224150886379014,54.224150886379014,54.224150886379014,54.224150886379014,54.224150886379014,0.0,0.0,0.0,1566.1415599464315
2022-12-11,1514.5470981749434,1419.2106641481048,1716.3404096342701,1514.5467829823588,1514.547430317929,54.224150886113236,54.224150886113236,54.224150886113236,54.224150886113236,54.224150886113236,54.224150886113236,0.0,0.0,0.0,1568.7712490610566
2022-12-18,1517.176787289834,1425.753405449286,1729.2000818960448,1517.176463025031,1517.1771291517514,54.224150885847486,54.224150885847486,54.224150885847486,54.224150885847486,54.224150885847486,54.224150885847486,0.0,0.0,0.0,1571.4009381756814
2022-12-25,1519.806476404725,1431.032926962778,1730.3355596460167,1519.8061427199962,1519.806824256593,54.224150886270216,54.224150886270216,54.224150886270216,54.224150886270216,54.224150886270216,54.224150886270216,0.0,0.0,0.0,1574.0306272909952
